Timestamp,Color Name,R,G,B
2025-01-23 23:10:19.430526,Tufts Blue,63,130,217
2025-01-23 23:10:22.799899,Golden Yellow,250,229,14
2025-01-23 23:10:25.971000,Fire Engine Red,221,34,43
2025-01-23 23:10:29.461651,Raw Umber,159,101,61
2025-01-23 23:10:34.463308,Forest Green (Web),33,143,56
2025-01-23 23:10:37.059945,Linen,255,240,232
2025-01-23 23:10:40.918174,Pastel Blue,179,191,207
2025-01-23 23:28:50.258708,Skin Tone,Porcelain_35,109,185,243
2025-01-23 23:28:50.258708,Fabric Dye,Turquoise_38,109,185,243
2025-01-23 23:40:04.883044,Skin Tone,Peach_78,251,222,20
2025-01-23 23:40:04.883044,Fabric Dye,Yellow_213,251,222,20
2025-01-23 23:40:04.883044,Soil Type,Sandy Soil,251,222,20
2025-01-23 23:42:52.182943,Skin Tone,Porcelain_35,98,178,249
2025-01-23 23:42:52.182943,Fabric Dye,Turquoise_38,98,178,249
2025-01-23 23:42:52.182943,Soil Type,Sandy Soil,98,178,249
2025-01-24 08:40:14.491396,Skin Tone,Peach_78,252,226,19
2025-01-24 08:40:14.491396,Fabric Dye,Yellow_213,252,226,19
2025-01-24 08:40:14.491396,Soil Type,Sandy Soil,252,226,19
2025-02-25 09:10:35.302351,Skin Tone,Olive_451,80,167,247
2025-02-25 09:10:35.302351,Fabric Dye,Turquoise_38,80,167,247
2025-02-25 09:10:35.302351,Soil Type,Sandy Soil,80,167,247
2025-02-25 10:32:00.893821,Skin Tone,Coffee_110,16,95,110
2025-02-25 10:32:00.893821,Fabric Dye,Black_256,16,95,110
2025-02-25 10:32:00.893821,Soil Type,Spodosols,16,95,110
2025-02-25 10:32:12.340657,Skin Tone,Medium_183,223,38,46
2025-02-25 10:32:12.340657,Fabric Dye,Red_364,223,38,46
2025-02-25 10:32:12.340657,Soil Type,Oxisols,223,38,46
2025-02-25 10:34:51.497666,Skin Tone,Olive_199,188,180,161
2025-02-25 10:34:51.497666,Fabric Dye,Pink_34,188,180,161
2025-02-25 10:34:51.497666,Soil Type,Sandy Soil,188,180,161
2025-02-25 10:34:59.014109,Skin Tone,Almond_359,155,142,133
2025-02-25 10:34:59.014109,Fabric Dye,Purple_259,155,142,133
2025-02-25 10:34:59.014109,Soil Type,Silt Soil,155,142,133
2025-02-25 10:35:00.137241,Skin Tone,Almond_359,155,142,133
2025-02-25 10:35:00.137241,Fabric Dye,Purple_259,155,142,133
2025-02-25 10:35:00.137241,Soil Type,Silt Soil,155,142,133
2025-02-25 10:35:02.685237,Skin Tone,Olive_241,154,156,151
2025-02-25 10:35:02.685237,Fabric Dye,Pink_34,154,156,151
2025-02-25 10:35:02.685237,Soil Type,Silt Soil,154,156,151
2025-02-25 10:38:57.419699,Skin Tone,Peach_78,253,228,21
2025-02-25 10:38:57.419699,Fabric Dye,Yellow_115,253,228,21
2025-02-25 10:38:57.419699,Soil Type,Sandy Soil,253,228,21
2025-02-25 10:39:09.343611,Skin Tone,Coffee_110,20,110,160
2025-02-25 10:39:09.343611,Fabric Dye,Turquoise_444,20,110,160
2025-02-25 10:39:09.343611,Soil Type,Spodosols,20,110,160
2025-02-25 10:39:21.146357,Skin Tone,Olive_409,180,179,174
2025-02-25 10:39:21.146357,Fabric Dye,Pink_34,180,179,174
2025-02-25 10:39:21.146357,Soil Type,Sandy Soil,180,179,174
