Name,R,G,B
Medium_1,205,140,62
Dark_2,101,43,39
Olive_3,201,161,117
Tan_4,200,147,96
Brown_5,146,64,21
Deep Brown_6,70,49,28
Porcelain_7,246,240,208
Peach_8,255,160,117
Almond_9,170,138,99
Honey_10,172,124,60
Caramel_11,160,107,49
Coffee_12,143,102,48
Ebony_13,70,44,28
Fair_14,255,219,168
Medium_15,206,142,68
Dark_16,90,54,34
Olive_17,202,160,108
Tan_18,217,153,92
Brown_19,139,78,12
Deep Brown_20,87,57,32
Porcelain_21,255,221,207
Peach_22,248,176,128
Almond_23,174,129,90
Honey_24,180,126,74
Caramel_25,166,98,60
Coffee_26,129,99,59
Ebony_27,76,49,28
Fair_28,255,217,175
Medium_29,199,143,64
Dark_30,88,56,50
Olive_31,201,176,106
Tan_32,212,146,105
Brown_33,135,68,21
Deep Brown_34,86,54,22
Porcelain_35,247,222,211
Peach_36,254,179,120
Almond_37,170,127,94
Honey_38,185,139,74
Caramel_39,163,105,63
Coffee_40,141,95,63
Ebony_41,74,39,11
Fair_42,245,222,180
Medium_43,191,131,73
Dark_44,102,43,46
Olive_45,191,158,103
Tan_46,203,135,95
Brown_47,139,60,11
Deep Brown_48,86,48,26
Porcelain_49,248,240,196
Peach_50,253,176,133
Almond_51,175,139,110
Honey_52,186,133,77
Caramel_53,165,106,62
Coffee_54,135,87,45
Ebony_55,81,54,30
Fair_56,255,214,168
Medium_57,195,128,75
Dark_58,82,54,45
Olive_59,197,157,102
Tan_60,216,141,86
Brown_61,149,68,29
Deep Brown_62,79,54,16
Porcelain_63,255,240,212
Peach_64,249,167,127
Almond_65,181,137,98
Honey_66,180,128,72
Caramel_67,157,115,59
Coffee_68,133,93,47
Ebony_69,90,49,27
Fair_70,255,225,179
Medium_71,188,125,64
Dark_72,101,60,49
Olive_73,197,170,103
Tan_74,212,135,95
Brown_75,148,78,12
Deep Brown_76,70,44,28
Porcelain_77,253,237,200
Peach_78,255,180,114
Almond_79,189,121,100
Honey_80,182,128,61
Caramel_81,165,117,52
Coffee_82,141,96,60
Ebony_83,76,41,21
Fair_84,255,226,178
Medium_85,191,140,65
Dark_86,82,54,41
Olive_87,193,164,114
Tan_88,206,149,91
Brown_89,136,59,15
Deep Brown_90,88,49,31
Porcelain_91,255,234,210
Peach_92,248,167,124
Almond_93,185,138,103
Honey_94,181,121,74
Caramel_95,152,100,50
Coffee_96,128,96,59
Ebony_97,83,37,27
Fair_98,252,217,176
Medium_99,199,141,58
Dark_100,84,53,52
Olive_101,196,170,100
Tan_102,201,145,100
Brown_103,137,66,9
Deep Brown_104,74,40,30
Porcelain_105,255,226,196
Peach_106,248,168,114
Almond_107,174,132,97
Honey_108,174,126,63
Caramel_109,160,106,55
Coffee_110,123,95,62
Ebony_111,90,51,17
Fair_112,255,223,162
Medium_113,198,124,75
Dark_114,102,51,37
Olive_115,185,164,114
Tan_116,202,146,92
Brown_117,133,71,10
Deep Brown_118,78,46,29
Porcelain_119,255,222,209
Peach_120,254,163,124
Almond_121,175,131,91
Honey_122,178,119,76
Caramel_123,152,103,58
Coffee_124,142,100,61
Ebony_125,75,48,20
Fair_126,255,211,171
Medium_127,191,125,66
Dark_128,85,42,40
Olive_129,188,166,101
Tan_130,203,144,87
Brown_131,135,68,19
Deep Brown_132,74,55,34
Porcelain_133,249,239,200
Peach_134,255,172,119
Almond_135,174,120,97
Honey_136,171,123,70
Caramel_137,155,105,56
Coffee_138,134,91,60
Ebony_139,70,50,14
Fair_140,248,228,165
Medium_141,188,135,69
Dark_142,96,54,38
Olive_143,202,158,105
Tan_144,216,149,92
Brown_145,137,67,15
Deep Brown_146,76,56,31
Porcelain_147,253,230,197
Peach_148,255,175,120
Almond_149,184,120,108
Honey_150,185,135,76
Caramel_151,169,107,57
Coffee_152,130,85,53
Ebony_153,86,43,15
Fair_154,255,216,177
Medium_155,199,135,75
Dark_156,84,56,52
Olive_157,199,157,99
Tan_158,208,135,90
Brown_159,133,66,24
Deep Brown_160,73,49,35
Porcelain_161,248,232,198
Peach_162,253,166,127
Almond_163,188,135,102
Honey_164,185,122,75
Caramel_165,156,107,48
Coffee_166,136,94,49
Ebony_167,72,49,25
Fair_168,255,214,169
Medium_169,202,144,69
Dark_170,99,60,44
Olive_171,200,166,113
Tan_172,200,134,97
Brown_173,148,60,25
Deep Brown_174,69,42,18
Porcelain_175,246,240,204
